id,clip_code,sentence,storage_path,created_at,student_id,stimulus_set,sentence_code,condition
002d9b56-f20f-4fa5-86c1-ec6824086569,b11901052_beta5_c2,I think it's gonna be really hard.,/clips/b11901052/beta5_c2.wav,2026-06-05 15:28:45.157671+00,b11901052,beta,beta5,c2
01e59447-fb7f-42ab-8672-64343f155144,r14922009_gamma3_c3a,What is the matter with your hand?,/clips/r14922009/gamma3_c3a.wav,2026-06-05 15:28:45.157671+00,r14922009,gamma,gamma3,c3a
02c551e2-1042-4639-a084-bff97f63cc23,r14922009_beta4_c3a,What kind of discount do we get?,/clips/r14922009/beta4_c3a.wav,2026-06-05 15:28:45.157671+00,r14922009,beta,beta4,c3a
06788064-6d1c-459a-9d3a-d64762594f9c,b11901052_alpha5_c3b,I never had a bike of my own.,/clips/b11901052/alpha5_c3b.wav,2026-06-05 15:28:45.157671+00,b11901052,alpha,alpha5,c3b
0912f6c7-6ec3-488d-ad29-ecda34a7c88d,b09207084_beta2_c3a,Maybe we can put it in the guest bedroom.,/clips/b09207084/beta2_c3a.wav,2026-06-05 15:28:45.157671+00,b09207084,beta,beta2,c3a
1a3eea43-c96e-4b68-bc8b-1001aa9c5342,r12323023_gamma4_c2,Of course it's true and it hurts so bad.,/clips/r12323023/gamma4_c2.wav,2026-06-05 15:28:45.157671+00,r12323023,gamma,gamma4,c2
1d0d05ed-ba09-4d84-a5fb-0c697bb69dfc,r14922009_gamma1_c3b,"His first big kid's bike, this is so exciting!",/clips/r14922009/gamma1_c3b.wav,2026-06-05 15:28:45.157671+00,r14922009,gamma,gamma1,c3b
1dacb912-23f0-4b86-8504-82297e1fbe6d,b11901052_alpha1_c2,I can't believe this is happening.,/clips/b11901052/alpha1_c2.wav,2026-06-05 15:28:45.157671+00,b11901052,alpha,alpha1,c2
1dbb486d-3fbb-44dd-a664-c2652330d9f5,b11901052_beta1_c3a,There's nothing wrong with speaking correctly.,/clips/b11901052/beta1_c3a.wav,2026-06-05 15:28:45.157671+00,b11901052,beta,beta1,c3a
239c6ef5-3a2f-4795-ba3f-bfc33c001ead,r12323023_gamma1_c2,"His first big kid's bike, this is so exciting!",/clips/r12323023/gamma1_c2.wav,2026-06-05 15:28:45.157671+00,r12323023,gamma,gamma1,c2
25b584eb-a018-4bf2-8f9d-3e1f3dccbabc,b09207084_alpha5_c3b,I never had a bike of my own.,/clips/b09207084/alpha5_c3b.wav,2026-06-05 15:28:45.157671+00,b09207084,alpha,alpha5,c3b
26bc6f44-de89-403c-94e9-ae8d6abe03fa,b11901052_beta4_c2,What kind of discount do we get?,/clips/b11901052/beta4_c2.wav,2026-06-05 15:28:45.157671+00,b11901052,beta,beta4,c2
2774e4c1-3514-4e12-a1e4-0875ddd33b56,r14922a21_gamma3_c3b,What is the matter with your hand?,/clips/r14922a21/gamma3_c3b.wav,2026-06-05 15:28:45.157671+00,r14922a21,gamma,gamma3,c3b
2bf0b38a-b633-4319-9e49-082f6921ed1f,b11901052_alpha4_c3a,Did the girl ever let you ride it?,/clips/b11901052/alpha4_c3a.wav,2026-06-05 15:28:45.157671+00,b11901052,alpha,alpha4,c3a
2cd14cff-29ed-4a45-8680-8ac181d5506b,b11901052_alpha6_c2,"Hey wait a minute, this one isn't dirty.",/clips/b11901052/alpha6_c2.wav,2026-06-05 15:28:45.157671+00,b11901052,alpha,alpha6,c2
337d2019-c058-4f15-90ea-263ef931bf8d,r14922009_gamma6_c3b,Are you going to eat that bread?,/clips/r14922009/gamma6_c3b.wav,2026-06-05 15:28:45.157671+00,r14922009,gamma,gamma6,c3b
360b138a-cdc7-4cad-83ca-eb83cba53761,b09207084_gamma4_c3a,Of course it's true and it hurts so bad.,/clips/b09207084/gamma4_c3a.wav,2026-06-05 15:28:45.157671+00,b09207084,gamma,gamma4,c3a
389126a9-befd-4eb0-82c6-fe37ab5ae019,r12323023_gamma3_c2,What is the matter with your hand?,/clips/r12323023/gamma3_c2.wav,2026-06-05 15:28:45.157671+00,r12323023,gamma,gamma3,c2
